ID,Jurisdiction,Instrument,Legal_or_programme_status,Vehicle_scope,Effective_date_or_gate,Mandate_type,DMS_topic,Derived_requirement_ids,Required_evidence,Evidence_owner,Repository_status,Last_verified,Public_source
REG-IND-001,India,CMVR Rule 125Q with AIS-184,Notified future mandate,M2 M3 N2 N3,new models 2027-10-01; existing models 2028-01-01,MANDATORY_FUTURE,DDAW system and warning,SYS-DMS-0100 SYS-DMS-0101 SYS-DMS-0102,Controlled Gazette and AIS; clause matrix; homologation report,Homologation,Open,2026-07-27,https://www.pib.gov.in/PressReleasePage.aspx?PRID=2223329&lang=9&reg=1
REG-IND-002,India,AIS-184,Technical standard invoked by CMVR,Applicable heavy-vehicle categories,per Rule 125Q and controlled edition,MANDATORY_FUTURE,Drowsiness attention warning test requirements,SYS-DMS-0101 SYS-DMS-0102 SYS-DMS-0103,Controlled final standard; amendments; technical-service evidence,System Engineering + Homologation,Open,2026-07-27,https://www.morth.gov.in/en/ais
REG-IND-003,India,CMVR Rule 126E and AIS-197,Bharat NCAP voluntary rating,Eligible M1 vehicles,programme/customer gate,VOLUNTARY_RATING,Safety-assist rating target where included,STK-DMS-0008,Controlled protocol; rating evidence,Homologation,Monitor,2026-07-27,https://www.pib.gov.in/PressReleasePage.aspx?PRID=1950593&lang=2&reg=48
REG-IND-004,India,AIS-197 Revision 1,Revision/future programme baseline,Eligible M1 vehicles,track notified application date,MONITOR,Future Bharat NCAP protocol,STK-DMS-0008,Controlled final revision and applicability decision,Homologation,Monitor,2026-07-27,https://www.morth.gov.in/en/ais
REG-IND-005,India,DPDP Act 2023 and DPDP Rules 2025,Data-protection law,Personal data processed by DMS/data ecosystem,processing activity gate,MANDATORY_NOW,Privacy notice minimisation retention access deletion,SYS-DMS-0013 SEC-DMS-0001,Data-flow register; privacy assessment; consent/notice; audit,Privacy + Cybersecurity,Open,2026-07-27,https://www.meity.gov.in/documents/act-and-policies/digital-personal-data-protection-rules-2025-gDOxUjMtQWa
REG-IND-006,India,AIS-189,Indian cybersecurity type-approval reference,To be confirmed by notified vehicle scope,legal applicability gate,MONITOR,CSMS and vehicle cybersecurity,SYS-DMS-0012 SEC-DMS-0001,Controlled final/notified text; CSMS evidence,Cybersecurity,Monitor,2026-07-27,https://www.morth.gov.in/en/ais
REG-IND-007,India,AIS-190,Indian software-update type-approval reference,To be confirmed by notified vehicle scope,legal applicability gate,MONITOR,SUMS and software/model updates,SYS-DMS-0012,Controlled final/notified text; SUMS evidence,Cybersecurity + Software,Monitor,2026-07-27,https://www.morth.gov.in/en/ais
REG-EU-001,European Union,Regulation EU 2019/2144 with Delegated Regulation EU 2021/1341,In force,Applicable M and N vehicle types,applicable since 2022-07-06,MANDATORY_NOW,DDAW,SYS-DMS-0104 SYS-DMS-0105 SYS-DMS-0106,Clause matrix; manufacturer dossier; technical-service approval,Homologation,Open,2026-07-27,https://eur-lex.europa.eu/eli/reg_del/2021/1341/oj
REG-EU-002,European Union,Regulation EU 2019/2144 with Delegated Regulation EU 2023/2590,In force,Applicable M and N vehicle types,applicable since 2024-07-07,MANDATORY_NOW,ADDW long visual distraction,SYS-DMS-0107 SYS-DMS-0108 SYS-DMS-0109,Clause matrix; gaze ground truth; technical-service approval,Homologation,Open,2026-07-27,https://eur-lex.europa.eu/eli/reg_del/2023/2590/oj
REG-UNECE-001,UNECE markets,UN Regulation No. 171 selected series/supplement,In force where adopted and feature applicable,Vehicles fitted with DCAS,market adoption plus feature gate,APPLICABLE_IF_FEATURED,Driver engagement availability transition warning,SYS-DMS-0110,Controlled series/supplement; type-approval evidence,Homologation + ADAS System,Open,2026-07-27,https://unece.org/transport/standards/transport/vehicle-regulations-wp29/addenda-1958-agreement-regulations-161-180
REG-UNECE-002,UNECE markets,UN Regulation No. 155,In force where adopted,Applicable vehicle categories,market/type-approval gate,APPLICABLE_IF_FEATURED,Cybersecurity management and vehicle evidence,SYS-DMS-0012 SEC-DMS-0001,CSMS certificate; TARA; test evidence,Cybersecurity,Open,2026-07-27,https://unece.org/transport/vehicle-regulations-wp29/standards/addenda-1958-agreement-regulations-141-160
REG-UNECE-003,UNECE markets,UN Regulation No. 156,In force where adopted,Applicable vehicle categories,market/type-approval gate,APPLICABLE_IF_FEATURED,Software update management,SYS-DMS-0012, SUMS certificate; update records; rollback evidence,Software + Cybersecurity,Open,2026-07-27,https://unece.org/transport/vehicle-regulations-wp29/standards/addenda-1958-agreement-regulations-141-160
STD-001,Global,ISO 26262,Engineering standard,Programme safety scope,customer lifecycle gate,CONTRACTUAL,Functional safety,FSR-DMS-0001 FSR-DMS-0002 FSR-DMS-0003,Safety plan HARA FSC TSC verification safety case,Functional Safety,Open,2026-07-27,
STD-002,Global,ISO 21448,Engineering standard,DMS intended function and foreseeable misuse,customer lifecycle gate,CONTRACTUAL,SOTIF and triggering conditions,SYS-DMS-0004 SYS-DMS-0111,SOTIF plan scenario catalogue validation argument,SOTIF,Open,2026-07-27,
STD-003,Global,ISO/SAE 21434,Engineering standard,ECU interfaces updates and data assets,customer lifecycle gate,CONTRACTUAL,Cybersecurity lifecycle,SEC-DMS-0001 SYS-DMS-0012,TARA cybersecurity case verification and incident plan,Cybersecurity,Open,2026-07-27,
STD-004,Global,Automotive SPICE,Process model,Programme processes,customer target gate,CONTRACTUAL,System software hardware support and management processes,All development requirements,Assessment evidence and process work products,Quality,Open,2026-07-27,
