Scenario ID,Section,Scenario,Head State,Eye State,Gaze / Context,Driver State,Classification,Alert Level,Primary Type,Trigger Condition,Recommended HMI,Compliance Mapping
DMS-001,A Head straight,Attentive baseline,Straight on-road axis,Open,Road gaze,Normal,Normal,Normal,None,Baseline road gaze with valid face and eyes,No alert,AIS-184 / DDAW baseline
DMS-002,A Head straight,Normal blink,Straight on-road axis,Brief closed,Road gaze,Normal blink,Normal,Normal,None,Eye closure below blink threshold,No alert; no nuisance warning,SOTIF false positive prevention
DMS-003,A Head straight,Slow eyelid closure,Straight on-road axis,Closing slowly,Drooping,Drowsy early,Warning,Warning,Drowsiness,Slow closure trend or PERCLOS rising,Soft visual + audio prompt,AIS-184 / EU DDAW
DMS-004,A Head straight,Microsleep,Straight on-road axis,Closed,Closed,Drowsy severe,Danger,Danger,Drowsiness,Prolonged eye closure > threshold,Urgent audio + haptic,AIS-184 / EU DDAW
DMS-005,A Head straight,Phone on ear,Straight on-road axis,Open,Phone near ear,Distracted cognitive/manual,Warning,Warning,Distraction,Phone object near ear sustained,Stage-1 warning,EU ADDW / OEM extension
DMS-006,A Head straight,Phone in hand with road gaze,Straight on-road axis,Open,Phone in hand; gaze road,Distracted manual,Warning,Warning,Distraction,Phone detected even if gaze remains forward,Visual + audio warning,EU ADDW / SOTIF misuse
DMS-007,A Head straight,Phone in hand + gaze down,Straight or slight down,Open,Phone down / lap,Distracted visual/manual,Danger,Danger,Distraction,Phone object + downward gaze,Escalating warning,EU ADDW / OEM extension
DMS-008,A Head straight,Fixed stare,Straight on-road axis,Open,No saccade / fixed stare,Drowsy or inattentive,Warning,Warning,Drowsiness,Reduced eye dynamics despite forward gaze,Monitor then warning,AIS-184 / DDAW
DMS-009,B Head down,Short cluster glance,Head down,Open,Instrument cluster,Transitional,Monitor,Info,None,Short sanctioned downward glance,No audio; optional monitor,SOTIF false positive prevention
DMS-010,B Head down,Sustained head-down visual task,Head down,Open,Downward / side,Distracted visual,Warning,Warning,Distraction,Head-down gaze beyond threshold,Stage-1 warning,EU ADDW
DMS-011,B Head down,Texting posture,Head down,Open,Phone/lap zone,Distracted visual/manual,Danger,Danger,Distraction,Head down + phone/lap cue + duration,Urgent warning,EU ADDW / SOTIF misuse
DMS-012,B Head down,Head-down drowsiness,Head down,Closing/closed,Drooping with head,Drowsy head nod,Danger,Danger,Drowsiness,Chin-drop + eye closure / microsleep signature,Urgent warning,AIS-184 / DDAW
DMS-013,C Head tilted,Short posture variation,Head tilted,Open,Road gaze compensated,Monitor,Monitor,Monitor,Distraction,Short lateral tilt with gaze compensation,Monitor only,SOTIF false positive prevention
DMS-014,C Head tilted,Prolonged side posture,Head tilted,Open,Passenger / side,Distracted postural,Warning,Warning,Distraction,Prolonged tilt with off-road gaze,Stage-1 warning,EU ADDW
